,Unnamed: 0,City,State,median_income,murders_2016_pro10e5,assaults_2016_pro10e5
68,68,Lincoln,Nebraska,"55,792",3.6,207.4
69,69,Orlando,Florida,"46,761",30.2,550.6
70,70,Irvine,California,"97,496",1.1,21.0
71,71,Toledo,Ohio,"35,301",13.3,777.0
72,72,Jersey City,New Jersey,"63,227",9.0,232.6
73,73,Chula Vista,California,"68,699",0.4,158.8
74,74,Durham,North Carolina,"52,208",13.2,519.2
75,75,Fort Wayne,Indiana,"45,232",16.4,188.0
76,76,St. Petersburg,Florida,"51,474",7.7,396.5
77,77,Laredo,Texas,"36,195",4.6,239.1
78,78,Buffalo,New York,"32,883",17.1,625.8
79,79,Madison,Wisconsin,"61,284",3.2,184.0
80,80,Lubbock,Texas,"48,103",2.4,825.2
81,81,Chandler,Arizona,"75,369",1.5,102.7
82,82,Scottsdale,Arizona,"81,381",1.7,67.7
83,83,Reno,Nevada,"51,313",3.7,480.9
84,84,Glendale,Arizona,"51,022",9.5,246.2
85,85,Norfolk,Virginia,"46,467",18.7,386.6
86,86,North Las Vegas,Nevada,"55,972",10.9,680.8
87,87,Gilbert,Arizona,"91,576",1.2,47.3
88,88,Chesapeake,Virginia,"72,928",5.9,279.8
89,89,Irving,Texas,"61,362",2.1,110.5
90,90,Hialeah,Florida,"30,495",2.9,153.3
91,91,Garland,Texas,"57,063",2.9,124.8
92,92,Fremont,California,"122,419",0.0,75.0
93,93,Richmond,Virginia,"42,373",19.5,247.7
94,94,Boise,Idaho,"55,199",2.7,207.0
95,95,Baton Rouge,Louisiana,"38,470",20.6,503.1
96,96,Des Moines,Iowa,"49,203",6.1,485.1
97,97,Spokane,Washington,"45,676",3.7,364.4
98,98,San Bernardino,California,"39,472",28.5,823.7
99,99,Modesto,California,"55,013",6.1,707.9
100,100,Tacoma,Washington,"55,996",6.2,613.6
101,101,Fontana,California,"66,073",3.1,247.2
102,102,Santa Clarita,California,"94,649",0.9,73.8
103,103,Birmingham,Alabama,"36,241",37.2,"1,109.3"
104,104,Oxnard,California,"64,279",5.7,209.5
105,105,Fayetteville,North Carolina,"42,918",12.1,380.5
106,106,Rochester,New York,"31,693",20.5,463.2
107,107,Moreno Valley,California,"64,008",4.4,240.5
108,108,Glendale,California,"64,611",0.5,51.3
109,109,Huntington Beach,California,"86,112",1.0,112.2
110,110,Aurora,Illinois,"66,540",3.5,217.2
111,111,Salt Lake City,Utah,"56,994",6.7,532.2
112,112,Amarillo,Texas,"51,466",5.5,490.2
113,113,Montgomery,Alabama,"41,625",15.0,338.2
114,114,Grand Rapids,Michigan,"45,795",5.1,434.5
115,115,Little Rock,Arkansas,"45,605",21.1,"1,099.6"
116,116,Akron,Ohio,"35,184",17.2,281.4
117,117,Augusta,Georgia,"38,238",,
118,118,Huntsville,Alabama,"51,895",9.3,624.7
119,119,Columbus,Georgia,"40,123",11.9,301.0
120,120,Grand Prairie,Texas,"62,391",4.7,133.5
121,121,Shreveport,Louisiana,"34,647",21.4,597.6
122,122,Overland Park,Kansas,"78,602",2.1,108.9
123,123,Tallahassee,Florida,"43,663",5.7,554.9
124,124,Mobile,Alabama,"39,463",17.6,455.3
125,125,Port St. Lucie,Florida,"51,447",1.6,108.0
126,126,Knoxville,Tennessee,"35,816",9.6,585.8
127,127,Worcester,Massachusetts,"44,020",4.3,637.6
128,128,Tempe,Arizona,"56,365",2.2,283.2
129,129,Cape Coral,Florida,"57,006",2.8,95.8
130,130,Brownsville,Texas,"36,584",2.2,142.3
131,131,McKinney,Texas,"87,356",2.9,73.1
132,132,Providence,Rhode Island,"40,335",5.6,339.6
133,133,Fort Lauderdale,Florida,"52,813",9.9,315.6
134,134,Newport News,Virginia,"50,524",16.5,263.1
135,135,Chattanooga,Tennessee,"41,226",14.6,735.1
136,136,Rancho Cucamonga,California,"81,286",0.6,76.8
137,137,Frisco,Texas,"124,829",1.3,49.8
138,138,Sioux Falls,South Dakota,"56,867",3.4,358.5
139,139,Oceanside,California,"60,487",4.5,227.2
140,140,Ontario,California,"55,982",4.6,194.1
141,141,Vancouver,Washington,"56,615",0.0,234.4
142,142,Santa Rosa,California,"71,854",2.8,248.3
143,143,Garden Grove,California,"63,566",2.3,179.9
144,144,Elk Grove,California,"91,899",,
145,145,Pembroke Pines,Florida,"62,812",0.6,126.5
146,146,Salem,Oregon,"51,945",4.2,216.2
147,147,Eugene,Oregon,"46,189",3.6,220.8
148,148,Peoria,Arizona,"68,882",1.1,129.3
149,149,Corona,California,"71,584",1.8,41.4
150,150,Springfield,Missouri,"33,286",4.8,904.3
