,City,State,Population_2017,Area,Pop_density,Things_to_do,State_code,Price_1br
142,Santa Rosa,California,175269,107,1637,103,CA,1531
143,Garden Grove,California,174226,46.6,3751,159,CA,1628
144,Elk Grove,California,171844,109.3,1553,19,CA,1354
145,Pembroke Pines,Florida,170712,85.5,1973,26,FL,1899
146,Salem,Oregon,169798,125.9,1330,90,OR,811
147,Eugene,Oregon,168916,114.2,1458,102,OR,809
148,Peoria,Arizona,168181,455.1,361,38,AZ,1113
149,Corona,California,167836,102.3,1630,17,CA,1749
150,Springfield,Missouri,167376,213.2,785,98,MO,525
151,Jackson,Mississippi,166965,287.5,588,68,MS,696
152,Cary,North Carolina,165904,146.3,1109,39,NC,1068
153,Fort Collins,Colorado,165080,144.5,1136,114,CO,950
154,Hayward,California,160500,117.8,1349,23,CA,2282
155,Lancaster,California,160316,244.2,656,39,CA,1369
156,Alexandria,Virginia,160035,38.8,4010,98,VA,1584
157,Salinas,California,157596,61.1,2572,33,CA,1689
158,Palmdale,California,157519,274.5,573,20,CA,1571
159,Sunnyvale,California,153656,57,2681,22,CA,2321
160,Hollywood,Florida,153627,70.7,2150,23,FL,1119
161,Pasadena,Texas,153520,112.7,1361,16,TX,789
162,Clarksville,Tennessee,153205,254.6,590,43,TN,597
163,Pomona,California,152939,59.6,2560,18,CA,1147
164,Kansas City,Kansas,152938,323.2,470,171,KS,720
165,Macon,Georgia,152663,645.7,236,49,GA,799
166,Escondido,California,151969,96.1,1578,60,CA,1440
167,Joliet,Illinois,148462,166.8,889,30,IL,1025
168,Naperville,Illinois,147682,100.2,1468,48,IL,1484
169,Rockford,Illinois,147051,164.5,898,37,IL,616
170,Torrance,California,146758,53.1,2770,41,CA,1590
171,Savannah,Georgia,146444,268.3,547,233,GA,896
172,Killeen,Texas,145482,138.6,1030,19,TX,564
173,Bellevue,Washington,144444,86.8,1630,50,WA,1872
174,Mesquite,Texas,143949,122.2,1176,14,TX,1078
175,Syracuse,New York,143396,64.7,2214,72,NY,659
176,McAllen,Texas,142696,151.3,940,30,TX,614
177,Pasadena,California,142647,59.6,2385,70,CA,1616
178,Orange,California,140560,65.8,2136,594,CA,1784
179,Fullerton,California,140392,58,2425,30,CA,1541
180,Dayton,Ohio,140371,144.3,974,74,OH,652
181,Olathe,Kansas,137472,157.7,859,23,KS,938
182,Thornton,Colorado,136978,92.5,1478,2,CO,1464
183,Waco,Texas,136436,230.5,580,84,TX,625
184,Murfreesboro,Tennessee,136372,144.8,910,53,TN,882
185,Denton,Texas,136268,241.9,553,39,TX,858
186,Midland,Texas,136089,192.7,698,26,TX,1199
187,Carrollton,Texas,135710,94,1419,18,TX,1102
188,Roseville,California,135329,111.4,1191,24,CA,1299
189,Warren,Michigan,135022,89.1,1517,19,MI,778
190,Charleston,South Carolina,134875,282.3,476,256,SC,960
191,Hampton,Virginia,134669,133.4,1015,36,VA,870
192,Surprise,Arizona,134085,279.5,470,16,AZ,1069
193,Columbia,South Carolina,133114,345.8,388,116,SC,829
194,Visalia,California,133010,97.1,1349,18,CA,785
195,Sterling Heights,Michigan,132631,94.5,1401,4,MI,825
196,Gainesville,Florida,132249,161.4,815,74,FL,781
197,Cedar Rapids,Iowa,132228,183.4,715,50,IA,677
198,New Haven,Connecticut,131014,48.4,2683,67,CT,1085
199,Stamford,Connecticut,130824,97.4,1326,33,CT,1514
200,Elizabeth,New Jersey,130215,31.9,4038,14,NJ,1180
201,Concord,California,129783,79,1630,24,CA,2371
202,Thousand Oaks,California,128995,143,902,26,CA,2035
203,Kent,Washington,128458,87.3,1461,21,WA,1458
204,Santa Clara,California,127134,47.7,2643,40,CA,2205
205,Simi Valley,California,126878,107.5,1175,24,CA,1994
206,Lafayette,Louisiana,126848,139.3,916,54,LA,681
207,Topeka,Kansas,126587,159.3,796,59,KS,585
208,Athens,Georgia,125691,301.5,410,58,GA,757
209,Round Rock,Texas,123678,92.2,1311,36,TX,1232
210,Hartford,Connecticut,123400,45.1,2735,66,CT,871
211,Norman,Oklahoma,122843,463.1,264,35,OK,631
212,Victorville,California,122441,189.8,644,19,CA,1094
213,Fargo,North Dakota,122359,127.7,950,42,ND,654
214,Berkeley,California,122324,27.2,4458,88,CA,2113
215,Vallejo,California,122105,79.5,1525,20,CA,1090
216,Abilene,Texas,121885,276.4,442,37,TX,642
217,Columbia,Missouri,121717,168.3,717,60,MO,573
218,Ann Arbor,Michigan,121477,72.8,1659,106,MI,1075
219,Allentown,Pennsylvania,121283,45.3,2657,42,PA,884
220,Pearland,Texas,119940,119.9,947,332,TX,1115
221,Beaumont,Texas,119114,212.6,556,37,TX,830
222,Wilmington,North Carolina,119045,133.6,880,129,NC,736
223,Evansville,Indiana,118930,122.5,975,44,IN,662
224,Arvada,Colorado,118807,100,1175,33,CO,1221
225,Provo,Utah,117335,108,1082,61,UT,632
226,Independence,Missouri,117306,201.5,581,46,MO,729
227,Lansing,Michigan,116986,101.3,1146,76,MI,695
228,Odessa,Texas,116861,117.1,1007,17,TX,1248
229,Richardson,Texas,116783,74.1,1530,24,TX,1049
230,Fairfield,California,116266,105.9,1083,24,CA,1311
231,El Monte,California,116109,24.9,4658,20,CA,1261
232,Rochester,Minnesota,115733,141.4,806,54,MN,816
233,Clearwater,Florida,115513,67.1,1705,94,FL,952
234,Carlsbad,California,115330,97.6,1167,80,CA,1897
235,Springfield,Illinois,114868,155.7,743,70,IL,558
236,Temecula,California,114327,96.6,1170,110,CA,1444
237,West Jordan,Utah,113905,83.7,1360,13,UT,990
238,Costa Mesa,California,113825,40.7,2775,44,CA,1828
239,Miami Gardens,Florida,113750,47.1,2398,7,FL,1101
240,Cambridge,Massachusetts,113630,16.6,6675,418,MA,1818
241,College Station,Texas,113564,132.1,849,31,TX,807
242,Murrieta,California,113326,87,1283,22,CA,1394
243,Downey,California,113092,32.1,3527,2,CA,1402
244,Peoria,Illinois,112883,124.8,915,42,IL,621
245,Westminster,Colorado,112812,82.1,1387,21,CO,1272
246,Elgin,Illinois,112456,96.9,1158,18,IL,1005
247,Antioch,California,111674,76.1,1456,18,CA,2854
248,Palm Bay,Florida,111657,170.2,647,23,FL,822
249,High Point,North Carolina,111513,143,778,18,NC,707
250,Lowell,Massachusetts,111346,35.2,3139,29,MA,1225
251,Manchester,New Hampshire,111196,85.7,1289,36,NH,1069
252,Pueblo,Colorado,111127,138.8,795,37,CO,602
253,Gresham,Oregon,111053,60.3,1848,20,OR,1400
254,North Charleston,South Carolina,110861,190.9,573,43,SC,905
255,Ventura,California,110790,56.5,1941,74,CA,1577
256,Inglewood,California,110598,23.6,4700,12,CA,1189
257,Pompano Beach,Florida,110473,62.2,1760,53,FL,1159
258,West Palm Beach,Florida,110222,142.7,758,101,FL,1072
259,Everett,Washington,110079,86.2,1264,37,WA,1348
260,Richmond,California,110040,78,1409,20,CA,2143
261,Clovis,California,109691,62.7,1700,18,CA,1004
262,Waterbury,Connecticut,108629,73.8,1467,18,CT,938
263,Broken Arrow,Oklahoma,108303,159.8,672,20,OK,802
264,Lakeland,Florida,108054,170.7,624,59,FL,794
265,West Covina,California,107598,41.4,2600,5,CA,1759
266,Boulder,Colorado,107125,64.2,1683,154,CO,1157
267,Daly City,California,107074,19.7,5409,9,CA,2455
268,Santa Maria,California,107014,59.1,1800,29,CA,1372
269,Hillsboro,Oregon,106894,64.7,1624,61,OR,1699
270,Norwalk,California,106084,25.1,4226,12,CA,1517
271,Lewisville,Texas,106021,95.1,1101,30,TX,1011
272,Tyler,Texas,104991,146.6,715,41,TX,704
273,League City,Texas,104903,132.6,769,332,TX,1222
274,Burbank,California,104834,45.1,2318,32,CA,1630
275,San Mateo,California,104748,31.3,3317,27,CA,3511
276,Wichita Falls,Texas,104747,187,560,32,TX,619
277,El Cajon,California,103894,37.6,2763,26,CA,1250
278,Davenport,Iowa,102320,162.9,630,47,IA,617
279,South Bend,Indiana,102245,107.2,949,57,IN,729
280,Las Cruces,New Mexico,101712,199.2,511,57,NM,585
281,Vista,California,101568,48.4,2099,51,CA,1421
282,Renton,Washington,101379,60.6,1666,21,WA,1650
283,Sparks,Nevada,100888,93,1080,23,NV,1135
