Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,MoM_Price_Change,YoY_Price_Change
"Wylie, TX","City",2018,6,868,1034,1285,1742,2219,.7,1
"Wyoming, MI","City",2018,6,614,752,914,1294,1428,.7,2.5
"Yakima, WA","City",2018,6,596,696,902,1244,1428,-.1,4
"Yarmouth, ME","City",2018,6,841,949,1196,1609,1755,-4.3,
"York, PA","City",2018,6,485,584,759,993,1060,-1.4,
"Youngstown, OH","City",2018,6,518,580,731,951,1057,0,
"Ypsilanti, MI","City",2018,6,791,842,1016,1395,1750,.4,3.2
"Yucca Valley, CA","City",2018,6,557,667,834,1172,1444,.3,
"Yuma, AZ","City",2018,6,690,707,940,1368,1647,.6,-.2
"Zion, IL","City",2018,6,762,885,1041,1331,1584,.1,-1
"Zionsville, IN","City",2018,6,1084,1258,1557,2087,2380,1.9,3.6
