Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,MoM_Price_Change,YoY_Price_Change
"San Antonio, TX","City",2018,6,681,839,1055,1396,1675,.4,.8
"San Bernardino, CA","City",2018,6,709,848,1060,1490,1835,.7,3.3
"San Bruno, CA","City",2018,6,2399,2949,3705,4984,5927,2,5.2
"San Clemente, CA","City",2018,6,2008,2331,3004,4166,4771,.8,1.8
"San Diego, CA","City",2018,6,1403,1554,2016,2903,3552,0,1
"San Dimas, CA","City",2018,6,1547,1842,2366,3216,3546,.7,3.6
"San Francisco, CA","City",2018,6,1986,2440,3066,4125,4905,0,1
"San Gabriel, CA","City",2018,6,1280,1523,1957,2660,2933,-.1,2
"San Jose, CA","City",2018,6,1772,2082,2610,3623,4176,.5,1.7
"San Leandro, CA","City",2018,6,1778,2185,2745,3693,4392,0,.3
"San Marcos, CA","City",2018,6,1394,1544,2002,2883,3529,.3,3.2
"San Marcos, TX","City",2018,6,780,952,1185,1589,1910,.3,3.4
"San Mateo, CA","City",2018,6,2857,3511,4411,5934,7056,1,1.2
"San Rafael, CA","City",2018,6,2179,2678,3365,4527,5383,.9,4.8
"San Ramon, CA","City",2018,6,2412,2964,3724,5010,5957,.5,1.2
"Sandy, UT","City",2018,6,904,1119,1388,1999,2296,0,2.6
"Sanford, FL","City",2018,6,870,950,1139,1515,1822,.5,2.1
"Santa Ana, CA","City",2018,6,1206,1435,1844,2506,2763,-.4,.8
"Santa Clara, CA","City",2018,6,1876,2205,2764,3837,4423,.9,4.8
"Santa Clarita, CA","City",2018,6,1679,1998,2568,3490,3848,.2,4.1
"Santa Cruz, CA","City",2018,6,1558,1847,2455,3257,3657,.3,4.5
"Santa Fe, NM","City",2018,6,868,945,1128,1500,1591,1.3,6.4
"Santa Maria, CA","City",2018,6,1181,1372,1658,2313,2723,1.3,3.9
"Santa Monica, CA","City",2018,6,1399,1665,2139,2908,3206,.9,.6
"Santa Rosa, CA","City",2018,6,1321,1531,1984,2889,3497,.5,4.4
"Santee, CA","City",2018,6,1712,1896,2460,3542,4334,1.7,8.2
"Sapulpa, OK","City",2018,6,533,631,815,1099,1209,.1,2
"Sarasota, FL","City",2018,6,1006,1082,1390,1906,2317,0,1.1
"Saugus, MA","City",2018,6,1443,1646,2041,2565,2827,.9,5.3
"Savannah, GA","City",2018,6,790,896,1035,1411,1649,.8,2.5
"Schaumburg, IL","City",2018,6,1177,1366,1607,2056,2446,1,1.4
"Schenectady, NY","City",2018,6,710,841,1036,1296,1427,1.1,4.1
"Schertz, TX","City",2018,6,946,1165,1464,1937,2326,.6,6.1
